rank,variant_id,tcg,name,set,collector_number,price_usd,psa10_pop,market_cap_usd,price_as_of,pop_as_of,origin,price_source
26,29,pokemon,Gengar VMAX,SS: Gengar VMAX High-Class Deck,020/019,2504.734559,7993,20020343.330087,2026-07-24,2026-07-24,eval8_ready,eval8_reference
27,33,pokemon,Lillie,SM4+: GX Battle Boost,119/114,16549.987718,1200,19859985.2616,2026-07-24,2026-07-24,eval8_ready,eval8_reference
28,30,pokemon,Detective Pikachu,SV-P,098/SV-P,409.206427,47676,19509325.613652,2026-07-25,2026-07-24,eval8_ready,eval8_reference
29,31,pokemon,Moltres Zapdos Articuno GX,Sun Moon Promotional Card,SM210,440.000000,41868,18421920.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
30,51,pokemon,Luigi Pikachu,XY-P: XY Promos,295/XY-P,7341.562270,2337,17157231.02499,2026-07-24,2026-07-25,eval8_ready,eval8_reference
31,35,pokemon,Pikachu,Promotional Cards 5th Anniversary Card,153/SV-P,3250.000000,5264,17108000.0,2026-07-25,2026-07-24,eval8_ready,eval8_reference
32,38,pokemon,Pikachu ex,WCS23: 2023 World Championships Yokohama Deck: Pikachu,001/030,608.668825,27959,17017771.678175,2026-07-24,2026-07-24,eval8_ready,eval8_reference
33,45,pokemon,Pikachu EX,CP6: Expansion Pack 20th Anniversary,094/087,9163.663022,1857,17016922.231854,2026-07-24,2026-07-25,eval8_ready,eval8_reference
34,32,pokemon,_____'s Pikachu,s8a-P: Promo Card Pack 25th Anniversary Edition,007/025,648.518541,26196,16988591.700036,2026-07-25,2026-07-24,eval8_ready,eval8_reference
35,37,pokemon,Mega Gengar ex,M2a: High Class Pack: MEGA Dream ex,240/193,567.670597,29763,16895579.978511,2026-07-25,2026-07-24,eval8_ready,eval8_reference
36,34,pokemon,Mew/Mewtwo Gx,2019 Sun and Moon Black Star Promo Power Partnership Tins,SM191,1749.990000,9531,16679154.69,2026-07-24,2026-07-24,eval8_ready,eval8_reference
37,40,pokemon,Eevee,SM-P: Sun & Moon Promos,287/SM-P,5158.437730,3223,16625644.80379,2026-07-24,2026-07-24,eval8_ready,eval8_reference
38,36,one-piece,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,Gold Background,OP05-119,13256.765838,1240,16438389.63912,2026-07-24,2026-07-24,eval8_ready,eval8_reference
39,39,pokemon,Giratina Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery Secret Rare,GG69,689.995000,23805,16425330.975,2026-07-24,2026-07-25,eval8_ready,eval8_reference
40,46,pokemon,Magikarp,SV1a: Triplet Beat,080/073,283.144969,56446,15982400.920174,2026-07-25,2026-07-25,eval8_ready,eval8_reference
41,43,one-piece,Monkey D. Luffy,2025 A Fist of Divine Speed 3rd Anniversary Gold Foil,OP05-119,20583.000000,772,15890076.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
42,41,pokemon,Mewtwo Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery,GG44,606.635000,25822,15664528.97,2026-07-24,2026-07-24,eval8_ready,eval8_reference
43,48,pokemon,Charizard Gx,2019 Sun and Moon Hidden Fates,SV49,1585.000000,9517,15084445.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
44,53,pokemon,Pikachu,SM-P: Sun & Moon Promos,400/SM-P,5388.233857,2798,15076278.331886,2026-07-25,2026-07-24,eval8_ready,eval8_reference
45,50,pokemon,Pikachu & Zekrom GX,SM9: Tag Bolt,101/095,4881.177836,3081,15038908.912716,2026-07-25,2026-07-24,eval8_ready,eval8_reference
46,49,pokemon,Pikachu ex,SV8: Super Electric Breaker,132/106,731.871220,19528,14291981.18416,2026-07-25,2026-07-24,eval8_ready,eval8_reference
47,44,pokemon,Pikachu,CP3: PokeKyun Collection,010/032,4700.812511,2967,13947310.720137,2026-07-25,2026-07-24,eval8_ready,eval8_reference
48,56,one-piece,Monkey.D.Luffy SEC-SP Extra Booster Anime 25th Collection,Comic Parallel,EB02-061,5821.665438,2300,13389830.5074,2026-07-24,2026-07-24,eval8_ready,eval8_reference
49,55,pokemon,Pikachu ex,M2a: High Class Pack: MEGA Dream ex,234/193,479.974342,27308,13107139.331336,2026-07-25,2026-07-24,eval8_ready,eval8_reference
50,60,one-piece,Roronoa Zoro,2024 Wings of the Captain Manga Alternate Art,OP06-118,4865.000000,2575,12527375.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
51,57,pokemon,Pikachu,S-P Promotional cards「YU NAGABA×Pokemon Card Game」,208/S-P,323.122976,38670,12495165.48192,2026-07-25,2026-07-24,eval8_ready,eval8_reference
52,59,pokemon,Mega Charizard X ex,M2: Inferno X,116/080,2810.189993,4383,12317062.739319,2026-07-25,2026-07-24,eval8_ready,eval8_reference
53,63,one-piece,Monkey D. Luffy,2025 Eb02-Extra Booster -Anime 25th Collection- Manga Alternate Art,EB02-061,12500.000000,955,11937500.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
54,61,pokemon,Mew ex,SV2a: Pokemon Card 151,205/165,549.819781,21445,11790885.203545,2026-07-25,2026-07-24,eval8_ready,eval8_reference
55,65,pokemon,Mewtwo GX,SM3+: Shining Legends,082/072,4826.195858,2403,11597348.646774,2026-07-24,2026-07-24,eval8_ready,eval8_reference
56,74,pokemon,Charizard VMAX SUR,Sword Shield Shining Fates,SV107,320.000000,35851,11472320.0,2026-07-25,2026-07-24,eval8_ready,eval8_reference
57,96,pokemon,Charizard,CP6: Expansion Pack 20th Anniversary,011/087,1275.000000,8600,10965000.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
58,66,pokemon,Charizard ex,SV4a: Shiny Treasure ex,349/190,448.255849,24007,10761278.166943,2026-07-25,2026-07-24,eval8_ready,eval8_reference
59,69,one-piece,Monkey D. Luffy,2025 Piece Card Game Carrying On His Will,OP13-118,38450.000000,278,10689100.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
60,70,pokemon,Cramorant,SWSH: Sword & Shield Promo Cards,226/S-P,650.009164,16362,10635449.941368,2026-07-24,2026-07-25,eval8_ready,eval8_reference
61,72,one-piece,Monkey D. Luffy,2025 Piece Card Game A Fist of Divine Speed,OP05-119,12834.000000,815,10459710.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
62,131,pokemon,Charizard VMAX,Sword Shield Promotional Card,SWSH261,1049.995000,9864,10357150.68,2026-07-24,2026-07-24,eval8_ready,eval8_reference
63,64,one-piece,Roronoa Zoro SEC-SP Booster Pack Wings Of The Captain,Comic Parallel,OP06-118,2443.643472,4191,10241309.791152,2026-07-24,2026-07-25,eval8_ready,eval8_reference
64,77,pokemon,Pikachu,S12a: VSTAR Universe,205/172,578.306555,17575,10163737.704125,2026-07-24,2026-07-25,eval8_ready,eval8_reference
65,85,pokemon,Reshiram ex,SV11W: White Flare,174/086,796.933227,12674,10100331.718998,2026-07-24,2026-07-24,eval8_ready,eval8_reference
66,68,pokemon,Lillie,SM1M: Collection Moon,066/060,8674.934327,1161,10071598.753647,2026-07-25,2026-07-25,eval8_ready,eval8_reference
67,73,pokemon,Sylveon ex,SV8a: Terastal Fest ex,212/187,201.600586,49670,10013501.10662,2026-07-25,2026-07-24,eval8_ready,eval8_reference
68,79,pokemon,Charizard ex,SV3: Ruler of the Black Flame,134/108,505.821981,19588,9908040.963828,2026-07-25,2026-07-24,eval8_ready,eval8_reference
69,78,one-piece,Nami,2024 Premium Booster the Best Manga Alternate Art,OP01-016,3681.000000,2651,9758331.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
70,81,pokemon,Umbreon Star,s8a-P: Promo Card Pack 25th Anniversary Edition,012/025,351.273749,27570,9684617.25993,2026-07-25,2026-07-24,eval8_ready,eval8_reference
71,71,one-piece,Nami R-SP Premium Booster One Piece Card The Best,Comic Parallel,OP01-016,1130.185106,8530,9640478.95418,2026-07-23,2026-07-25,eval8_ready,eval8_reference
72,80,one-piece,Gol D. Roger SEC-GSP,Booster Pack Emperors In The New World,OP09-118,7184.966839,1338,9613485.630582,2026-07-24,2026-07-25,eval8_ready,eval8_reference
73,84,pokemon,Gengar & Mimikyu GX,SM9: Tag Bolt,103/095,3512.737492,2733,9600311.565636,2026-07-23,2026-07-24,eval8_ready,eval8_reference
74,75,pokemon,Pikachu/Zekrom Gx,2019 Sun and Moon Black Star Promo Tag Team Tins,SM168,1797.530000,5268,9469388.04,2026-07-24,2026-07-25,eval8_ready,eval8_reference
75,109,pokemon,Flareon EX,CP3: PokeKyun Collection,007/032,3558.555807,2658,9458641.335006,2026-07-24,2026-07-24,eval8_ready,eval8_reference
76,86,pokemon,Zekrom ex,SV11B: Black Bolt,174/086,720.874824,12825,9245219.6178,2026-07-24,2026-07-25,eval8_ready,eval8_reference
77,98,one-piece,Shanks SEC-SP Booster Pack ROMANCE DAWN,Comic Parallel,OP01-120,2161.631049,4163,8998870.056987,2026-07-24,2026-07-25,eval8_ready,eval8_reference
78,87,one-piece,Boa Hancock SR-SP Booster Pack The Future After 500 years,Comic Parallel,OP07-051,1995.824122,4486,8953267.011292,2026-07-24,2026-07-25,eval8_ready,eval8_reference
79,91,pokemon,Rayquaza V,S7R: Blue Sky Stream,076/067,1771.641518,5051,8948561.307418,2026-07-25,2026-07-24,eval8_ready,eval8_reference
80,83,pokemon,Pikachu,SV2a: Pokemon Card 151,025/165,716.292993,12432,8904954.488976,2026-07-24,2026-07-24,eval8_ready,eval8_reference
81,88,pokemon,Giratina VSTAR,S12a: VSTAR Universe,261/172,299.010324,29559,8838446.167116,2026-07-25,2026-07-24,eval8_ready,eval8_reference
82,94,pokemon,Iono,SV2D: Clay Burst,096/071,521.125298,16917,8815876.666266,2026-07-25,2026-07-24,eval8_ready,eval8_reference
83,82,pokemon,Special Delivery Charizard,Sword Shield 2022 Pokemon Center UK Special Promo,SWSH075,1925.000000,4524,8708700.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
84,93,pokemon,Umbreon & Darkrai GX,SM12a: TAG TEAM GX: Tag All Stars,182/173,1822.548720,4765,8684444.6508,2026-07-24,2026-07-25,eval8_ready,eval8_reference
85,97,pokemon,Sightseer,SM12a: TAG TEAM GX: Tag All Stars,192/173,1542.549942,5616,8662960.474272,2026-07-24,2026-07-24,eval8_ready,eval8_reference
86,95,pokemon,Lillie's Determination,m1L: Mega Brave,091/063,441.554157,19587,8648721.273159,2026-07-25,2026-07-25,eval8_ready,eval8_reference
87,92,pokemon,Kanazawa Pikachu With Mark,S-P,144/S-P,408.821553,21092,8622864.195876,2026-07-25,2026-07-24,eval8_ready,eval8_reference
88,90,one-piece,Trafalgar Law,Champion Ship Prize,ST10-010,4943.502825,1720,8502824.859,2026-07-24,2026-07-24,eval8_ready,eval8_reference
89,101,pokemon,Arceus Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery Secret Rare,GG70,416.000000,20108,8364928.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
90,102,one-piece,Shanks SEC-SP Booster Pack ROMANCE DAWN,Comic Parallel,OP01-120,5546.000000,1500,8319000.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
91,103,one-piece,Monkey D. Luffy,2022 Romance Dawn Alternate Art,OP01-003,9879.000000,838,8278602.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
92,100,pokemon,Team Rocket's Mewtwo ex,SV10: The Glory of Team Rocket,125/098,706.762783,11682,8256402.831006,2026-07-25,2026-07-24,eval8_ready,eval8_reference
93,99,pokemon,Mew VMAX,S8: Fusion Arts,119/100,1429.531431,5765,8241248.699715,2026-07-25,2026-07-24,eval8_ready,eval8_reference
94,105,pokemon,Umbreon,SV-P Promotional cards「YU NAGABA×Pokemon Card Game」,067/SV-P,277.017533,28548,7908296.532084,2026-07-24,2026-07-24,eval8_ready,eval8_reference
95,120,pokemon,Mewtwo & Mew GX,SM11: Miracle Twin,098/094,3573.828578,2173,7765929.499994,2026-07-25,2026-07-25,eval8_ready,eval8_reference
96,107,one-piece,Boa Hancock,2024 500 Years In the Future Manga Art,OP07-051,3180.000000,2438,7752840.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
97,115,pokemon,Kingdra ex,Scarlet Violet Promotional Card,131/SVP,418.740000,18191,7617299.34,2026-07-25,2026-07-24,eval8_ready,eval8_reference
98,112,one-piece,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,Silver Background,OP05-119,6755.097028,1114,7525178.089192,2026-07-24,2026-07-25,eval8_ready,eval8_reference
99,111,one-piece,Monkey.D.Luff,1st Anniversary Set,ST10-006,5833.947433,1286,7502456.398838,2026-07-24,2026-07-26,eval8_ready,eval8_reference
100,104,pokemon,Rayquaza Vmax,2022 Sword and Shield Silver Tempest Trainer Gallery,TG20,447.495000,16614,7434681.93,2026-07-24,2026-07-25,eval8_ready,eval8_reference
101,127,pokemon,Mega Dragonite ex,M2a: High Class Pack: MEGA Dream ex,246/193,326.886187,22646,7402664.590802,2026-07-25,2026-07-24,eval8_ready,eval8_reference
102,133,pokemon,Fukuoka's Pikachu,Special Box Pokemon Center Fukuoka,289/SV-P,268.678600,27084,7276891.2024,2026-07-25,2026-07-24,eval8_ready,eval8_reference
103,125,pokemon,Manzai play Pikachu,S-P,407/SM-P,1001.282913,7199,7208235.690687,2026-07-24,2026-07-25,eval8_ready,eval8_reference
104,113,pokemon,Hiroshima's Pikachu,SV-P Promotional Cards,261/SV-P,356.955220,20168,7199072.87696,2026-07-25,2026-07-24,eval8_ready,eval8_reference
105,119,pokemon,Pikachu,Pokemon Card Festa 2017,061/SM-P,3176.736514,2232,7090475.899248,2026-07-24,2026-07-24,eval8_ready,eval8_reference
106,114,pokemon,Pikachu,SV-P Promotional Cards,1/SV-P,94.281874,74171,6992980.876454,2026-07-25,2026-07-24,eval8_ready,eval8_reference
107,116,pokemon,Charizard VSTAR,S12a: VSTAR Universe,212/172,179.809396,37772,6791760.505712,2026-07-25,2026-07-24,eval8_ready,eval8_reference
108,117,pokemon,Pretend Tea Ceremony Pikachu,SM-P: Sun & Moon Promos,325/SM-P,1130.000000,5983,6760790.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
109,126,pokemon,Mewtwo VSTAR,S12a: VSTAR Universe,221/172,204.655141,32991,6751777.756731,2026-07-25,2026-07-24,eval8_ready,eval8_reference
110,128,one-piece,Monkey D. Luffy,2025 A Fist of Divine Speed Manga Alternate Art,OP11-118,2400.000000,2772,6652800.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
111,129,pokemon,Espeon VMAX,S-P,189/S-P,468.324271,14105,6605713.842455,2026-07-25,2026-07-24,eval8_ready,eval8_reference
112,132,one-piece,Boa Hancock,2023 Kingdoms of Intrigue,OP01-078,2690.000000,2453,6598570.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
113,130,pokemon,Charizard VMAX,S4a: Shiny Star V,308/190,245.891624,26287,6463753.120088,2026-07-25,2026-07-24,eval8_ready,eval8_reference
114,122,pokemon,Greninja ex,Scarlet Violet Shrouded Fable Greninja ex Special Illustration Collection,132/SVP,440.000000,14687,6462280.0,2026-07-25,2026-07-25,eval8_ready,eval8_reference
115,134,one-piece,Monkey D. Luffy,2025 Carrying On His Will (Op13) - English Manga Alt. Art Parallel,OP13-118,5722.000000,1129,6460138.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
116,173,pokemon,Friends in Alola,SM-P: Sun & Moon Promos,401/SM-P,4256.014417,1514,6443605.827338,2026-07-24,2026-07-25,eval8_ready,eval8_reference
117,139,pokemon,Charizard GX,SM8b: GX Ultra Shiny,209/150,2238.988332,2842,6363204.839544,2026-07-25,2026-07-24,eval8_ready,eval8_reference
118,137,one-piece,Monkey.D.Luffy SEC-SP Booster Pack CARRYING ON HIS WILL,Comic Parallel,OP13-118,3500.368460,1807,6325165.80722,2026-07-24,2026-07-25,eval8_ready,eval8_reference
119,142,pokemon,Shibuya Pikachu,S-P,002/S-P,824.729672,7572,6244853.076384,2026-07-25,2026-07-25,eval8_ready,eval8_reference
120,136,pokemon,Pikachu,SM11b: Dream League,054/049,395.564787,15688,6205620.378456,2026-07-25,2026-07-24,eval8_ready,eval8_reference
121,166,pokemon,Tohoku's Pikachu,Special Box Pokemon Center Tohoku,260/SV-P,280.408088,21958,6157200.796304,2026-07-25,2026-07-24,eval8_ready,eval8_reference
122,144,pokemon,Clefairy,SM Promos,381/SM-P,565.000000,10867,6139855.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
123,148,pokemon,Lisia,SM7: Sky-Splitting Charisma,104/096,1780.805181,3365,5992409.434065,2026-07-25,2026-07-24,eval8_ready,eval8_reference
124,164,pokemon,Victini,Promotional Cards Victini BWR Competition Top Prize,288/SV-P,1710.550431,3498,5983505.407638,2026-07-24,2026-07-24,eval8_ready,eval8_reference
125,153,pokemon,Espeon ex,SV8a: Terastal Fest ex,211/187,150.974403,39070,5898569.92521,2026-07-25,2026-07-24,eval8_ready,eval8_reference
126,168,pokemon,Mew EX,Shiny Collection,024/020,7500.000000,785,5887500.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
127,146,one-piece,Monkey D Luffy,2024 Premium Booster: the Best English Manga Alt. Art Parallel,OP05-119,10188.000000,571,5817348.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
128,150,one-piece,Monkey.D.Luffy SEC-SP Booster Pack A Fist of Divine Speed,Comic Parallel,OP11-118,1621.223287,3574,5794252.027738,2026-07-24,2026-07-25,eval8_ready,eval8_reference
129,143,pokemon,Greninja ex,SV5a: Crimson Haze,090/066,387.928401,14850,5760736.75485,2026-07-25,2026-07-24,eval8_ready,eval8_reference
130,152,pokemon,Reshiram & Charizard GX,SM10: Double Blaze,097/095,2016.005865,2837,5719408.639005,2026-07-24,2026-07-24,eval8_ready,eval8_reference
131,154,pokemon,Team Aqua's Kyogre EX,CP1: Magma Gang vs Aqua Gang: Double Crisis,006/034,2509.825596,2278,5717382.707688,2026-07-24,2026-07-24,eval8_ready,eval8_reference
132,157,one-piece,Roronoa Zoro,Flagship Battle Victory souvenir,OP01-025,2880.127733,1974,5685372.144942,2026-07-24,2026-07-26,eval8_ready,eval8_reference
133,162,pokemon,Mew,CP5: Mythical & Legendary Dream Shine Collection,017/036,2016.005865,2760,5564176.1874,2026-07-24,2026-07-24,eval8_ready,eval8_reference
134,159,pokemon,Team Magma's Groudon EX,CP1: Magma Gang vs Aqua Gang: Double Crisis,015/034,3316.138541,1671,5541267.502011,2026-07-24,2026-07-25,eval8_ready,eval8_reference
135,149,pokemon,Charizard EX,CP6: Expansion Pack 20th Anniversary,090/087,4022.347089,1373,5522682.553197,2026-07-24,2026-07-25,eval8_ready,eval8_reference
136,161,pokemon,Greninja Star,Sword Shield Celebrations Promotional Card,SWSH144,1830.017195,2990,5471751.41305,2026-07-24,2026-07-24,eval8_ready,eval8_reference
137,165,pokemon,Venusaur ex,SV2a: Pokemon Card 151,200/165,242.531615,22547,5468360.323405,2026-07-24,2026-07-24,eval8_ready,eval8_reference
138,155,pokemon,Arceus VSTAR,S12a: VSTAR Universe,262/172,223.440650,24295,5428490.59175,2026-07-25,2026-07-25,eval8_ready,eval8_reference
139,167,pokemon,Pikachu Seven-Eleven,S-P,001/S-P,1182.112530,4570,5402254.2621,2026-07-24,2026-07-24,eval8_ready,eval8_reference
140,163,one-piece,Monkey D. Luffy,2025 3rd Anniversary! One Piece Card Treasure Campaign Pack,ST21-014,4468.000000,1203,5375004.0,2026-07-24,2026-07-26,eval8_ready,eval8_reference
141,158,pokemon,Easter's Pikachu,SM-P,055/SM-P,3623.188406,1481,5365942.029286,2026-07-24,2026-07-24,eval8_ready,eval8_reference
142,169,pokemon,Member Pretend Pikachu,Special BOX Member Pretend Pikachu,014/SM-P,2947.678703,1799,5302873.986697,2026-07-24,2026-07-24,eval8_ready,eval8_reference
143,174,pokemon,Solgaleo & Lunala GX,SM11b: Dream League,063/049,490.763028,10781,5290916.204868,2026-07-23,2026-07-24,eval8_ready,eval8_reference
144,170,pokemon,Eevee,SV-P Promotional Cards,62/SV-P,245.500000,21091,5177840.5,2026-07-24,2026-07-25,eval8_ready,eval8_reference
145,171,one-piece,Monkey D Luffy,"2024 Emperors In the New World (Op09) - English (Borderless, Manga Art) Alt Art",OP09-119,5279.000000,976,5152304.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
146,175,one-piece,Tony Tony Chopper,2024 Memorial Collection Manga Alternate Art,EB01-006,6462.000000,784,5066208.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
147,184,pokemon,Mega Rayquaza EX,XY7: Bandit Ring,095/081,4177.103061,1196,4995815.260956,2026-07-25,2026-07-24,eval8_ready,eval8_reference
148,186,pokemon,Pikachu,SM-P: Sun & Moon Promos,224/SM-P,1209.603519,4128,4993243.326432,2026-07-23,2026-07-24,eval8_ready,eval8_reference
149,176,pokemon,Pikachu,SV2a: Pokemon Card 151,173/165,109.963956,45275,4978618.1079,2026-07-25,2026-07-24,eval8_ready,eval8_reference
150,108,pokemon,Mega Charizard X ex,M2a: High Class Pack: MEGA Dream ex,223/193,108.772680,45662,4966778.11416,2026-07-25,2026-07-24,eval8_ready,eval8_reference
151,181,pokemon,Erika's Hospitality,SM12a: TAG TEAM GX: Tag All Stars,190/173,1191.276193,4161,4956900.239073,2026-07-25,2026-07-24,eval8_ready,eval8_reference
152,193,pokemon,Glaceon ex,SV8a: Terastal Fest ex,206/187,134.400391,36797,4945531.187627,2026-07-25,2026-07-24,eval8_ready,eval8_reference
153,182,pokemon,Leafeon ex,SV8a: Terastal Fest ex,200/187,128.016372,38164,4885616.821008,2026-07-24,2026-07-24,eval8_ready,eval8_reference
154,177,pokemon,Blastoise ex,SV2a: Pokemon Card 151,202/165,213.812695,22737,4861459.246215,2026-07-24,2026-07-24,eval8_ready,eval8_reference
155,183,pokemon,Lillie's Full Force,SM11b: Dream League,068/049,530.728817,9105,4832285.878785,2026-07-25,2026-07-24,eval8_ready,eval8_reference
156,172,pokemon,Moltres & Zapdos & Articuno GX,SM10b: Sky Legend,060/054,2688.007820,1786,4800781.96652,2026-07-25,2026-07-25,eval8_ready,eval8_reference
157,185,pokemon,Marnie,S1H: Shield,068/060,568.147107,8416,4781526.052512,2026-07-25,2026-07-25,eval8_ready,eval8_reference
158,190,pokemon,Shining Magikarp,s8a-P: Promo Card Pack 25th Anniversary Edition,010/025,213.812695,22107,4726757.248365,2026-07-25,2026-07-25,eval8_ready,eval8_reference
159,188,one-piece,Portgas D. Ace,2023 Japanese Manga Art,OP02-013,3125.000000,1504,4700000.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
160,192,one-piece,Sanji,2025 Premium Booster: the Best Vol.2 (Prb-02) - English Manga Alt. Art Parallel (En Above Japan On Border),OP06-119,4497.000000,1041,4681377.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
161,189,pokemon,Pikachu,S10a: Dark Phantasma,073/071,147.840430,31255,4620752.63965,2026-07-25,2026-07-24,eval8_ready,eval8_reference
162,197,one-piece,Nami,2025 Card Game Promo Championship Offline Regionals Top  Prize,OP09-050,4584.000000,999,4579416.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
163,179,pokemon,Mew,S8a: 25th Anniversary Collection,030/028,501.557823,9126,4577216.692698,2026-07-25,2026-07-25,eval8_ready,eval8_reference
164,198,pokemon,Pikachu wearing a poncho,SM-P,037/SM-P,3371.407517,1345,4534543.110365,2026-07-24,2026-07-25,eval8_ready,eval8_reference
