rank,variant_id,tcg,name,set,collector_number,price_usd,psa10_pop,market_cap_usd,price_as_of,pop_as_of,origin,price_source
67,93,pokemon,Umbreon & Darkrai GX,SM12a: TAG TEAM GX: Tag All Stars,182/173,1822.548720,4765,8684444.6508,2026-07-24,2026-07-25,eval8_ready,eval8_reference
68,97,pokemon,Sightseer,SM12a: TAG TEAM GX: Tag All Stars,192/173,1542.549942,5616,8662960.474272,2026-07-24,2026-07-24,eval8_ready,eval8_reference
69,95,pokemon,Lillie's Determination,m1L: Mega Brave,091/063,441.554157,19587,8648721.273159,2026-07-25,2026-07-25,eval8_ready,eval8_reference
70,92,pokemon,Kanazawa Pikachu With Mark,S-P,144/S-P,408.821553,21092,8622864.195876,2026-07-25,2026-07-24,eval8_ready,eval8_reference
71,101,pokemon,Arceus Vstar,2023 Sword and Shield Crown Zenith Galarian Gallery Secret Rare,GG70,416.000000,20108,8364928.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
72,100,pokemon,Team Rocket's Mewtwo ex,SV10: The Glory of Team Rocket,125/098,706.762783,11682,8256402.831006,2026-07-25,2026-07-24,eval8_ready,eval8_reference
73,99,pokemon,Mew VMAX,S8: Fusion Arts,119/100,1429.531431,5765,8241248.699715,2026-07-25,2026-07-24,eval8_ready,eval8_reference
74,105,pokemon,Umbreon,SV-P Promotional cards「YU NAGABA×Pokemon Card Game」,067/SV-P,277.017533,28548,7908296.532084,2026-07-24,2026-07-24,eval8_ready,eval8_reference
75,120,pokemon,Mewtwo & Mew GX,SM11: Miracle Twin,098/094,3573.828578,2173,7765929.499994,2026-07-25,2026-07-25,eval8_ready,eval8_reference
76,115,pokemon,Kingdra ex,Scarlet Violet Promotional Card,131/SVP,418.740000,18191,7617299.34,2026-07-25,2026-07-24,eval8_ready,eval8_reference
77,104,pokemon,Rayquaza Vmax,2022 Sword and Shield Silver Tempest Trainer Gallery,TG20,447.495000,16614,7434681.93,2026-07-24,2026-07-25,eval8_ready,eval8_reference
78,127,pokemon,Mega Dragonite ex,M2a: High Class Pack: MEGA Dream ex,246/193,326.886187,22646,7402664.590802,2026-07-25,2026-07-24,eval8_ready,eval8_reference
79,133,pokemon,Fukuoka's Pikachu,Special Box Pokemon Center Fukuoka,289/SV-P,268.678600,27084,7276891.2024,2026-07-25,2026-07-24,eval8_ready,eval8_reference
80,125,pokemon,Manzai play Pikachu,S-P,407/SM-P,1001.282913,7199,7208235.690687,2026-07-24,2026-07-25,eval8_ready,eval8_reference
81,113,pokemon,Hiroshima's Pikachu,SV-P Promotional Cards,261/SV-P,356.955220,20168,7199072.87696,2026-07-25,2026-07-24,eval8_ready,eval8_reference
82,119,pokemon,Pikachu,Pokemon Card Festa 2017,061/SM-P,3176.736514,2232,7090475.899248,2026-07-24,2026-07-24,eval8_ready,eval8_reference
83,114,pokemon,Pikachu,SV-P Promotional Cards,1/SV-P,94.281874,74171,6992980.876454,2026-07-25,2026-07-24,eval8_ready,eval8_reference
84,116,pokemon,Charizard VSTAR,S12a: VSTAR Universe,212/172,179.809396,37772,6791760.505712,2026-07-25,2026-07-24,eval8_ready,eval8_reference
85,117,pokemon,Pretend Tea Ceremony Pikachu,SM-P: Sun & Moon Promos,325/SM-P,1130.000000,5983,6760790.0,2026-07-24,2026-07-24,eval8_ready,eval8_reference
86,126,pokemon,Mewtwo VSTAR,S12a: VSTAR Universe,221/172,204.655141,32991,6751777.756731,2026-07-25,2026-07-24,eval8_ready,eval8_reference
87,129,pokemon,Espeon VMAX,S-P,189/S-P,468.324271,14105,6605713.842455,2026-07-25,2026-07-24,eval8_ready,eval8_reference
88,130,pokemon,Charizard VMAX,S4a: Shiny Star V,308/190,245.891624,26287,6463753.120088,2026-07-25,2026-07-24,eval8_ready,eval8_reference
