variantId,boards,rank,tcg,name,set,collectorNumber,tier,missingImage,nonStdCanvas,reachableViaCurrentOpaqueId,onDiskDims,packImageDims,qcVersion
357,tcg300,231,pokemon,Mega Charizard X ex,M2: Inferno X,094/080,C_drift_nonstd,False,True,False,708x1000,708x1000,raw-front-v3
358,tcg300,233,pokemon,Pikachu VMAX,Monthly Coro Coro Comic February 2022 issue supplement,265/S-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
359,tcg300,236,pokemon,Charizard ex,SV2a: Pokemon Card 151,185/165,C_drift_nonstd,False,True,False,640x902,640x902,raw-front-v3
362,tcg300,238,pokemon,Mewtwo EX,s8a-P: Promo Card Pack 25th Anniversary Edition,022/025,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
364,tcg300,240,pokemon,Oricorio ex,M2: Inferno X,111/080,C_drift_nonstd,False,True,False,710x1000,710x1000,raw-front-v3
365,tcg300,243,pokemon,Dark Gyarados,s8a-P: Promo Card Pack 25th Anniversary Edition,005/025,C_drift_nonstd,False,True,False,500x698,500x698,raw-front-v3
368,tcg300,245,pokemon,Radiant Charizard,S10b: Pokemon GO,011/071,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
370,tcg300,244,pokemon,Mewtwo & Mew GX,SM12a: TAG TEAM GX: Tag All Stars,052/173,C_drift_nonstd,False,True,False,716x997,716x997,raw-front-v3
378,tcg300,249,pokemon,Pikachu,Promotional Cards WCS2024 Commemorative Campaign,197/SV-P,C_drift_nonstd,False,True,False,430x609,430x609,raw-front-v3
379,tcg300,250,pokemon,Green's Exploration,SM9b: Full Metal Wall,061/054,C_drift_nonstd,False,True,False,716x999,716x999,raw-front-v3
380,tcg300,254,pokemon,Gengar VMAX,SS: Gengar VMAX High-Class Deck,002/019,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
384,tcg300,255,pokemon,Darkrai VSTAR,S12a: VSTAR Universe,228/172,C_drift_nonstd,False,True,False,706x1000,706x1000,raw-front-v3
386,tcg300,259,pokemon,Rayquaza,S3a: Legendary Heartbeat,056/076,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
387,tcg300,257,pokemon,Mega Gengar ex,MBG: MEGA Starter Set Mega Gengar ex,003/021,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
390,tcg300,260,pokemon,Mewtwo,Pokemon TCG Classic: Blastoise,014/032,C_drift_nonstd,False,True,False,444x620,444x620,raw-front-v3
391,tcg300,262,pokemon,Rayquaza VMAX,S8b: VMAX Climax,284/184,C_drift_nonstd,False,True,False,710x1000,710x1000,raw-front-v3
392,tcg300,261,pokemon,Surfing Pikachu VMAX,S8a: 25th Anniversary Collection,022/028,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
394,tcg300,264,pokemon,Surfing Pikachu V,S8a: 25th Anniversary Collection,021/028,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
