variantId,tcg,cardLanguage,collectorNumber,canonicalName,setNameCatalog,chars,words,opaqueId,ebayExternalEntityId,contentSha256,file
103,one-piece,en,OP01-003,Monkey D. Luffy,2022 Romance Dawn Alternate Art,2923,478,cmc_7f757e4ecc3aa9b69b5dd012,d1302f6a-183f-43e8-84c1-1f6867e12d10,85c0dffccca83d3b00b4c9896056e4cc70e5aa8a7ca0341077623ecdab32e47a,data/editorial/long-form-stories/altxyz/d1302f6a-183f-43e8-84c1-1f6867e12d10/summary_en.json
104,pokemon,en,TG20,Rayquaza Vmax,2022 Sword and Shield Silver Tempest Trainer Gallery,2625,421,cmc_5964def2b98493de2fbea6d7,8ba5e47a-9f2e-4c14-a2b4-bd5bb65f1e74,8afb467f38a98b11e33209bdbdd85282a0790dc5c9f2c158e45efa34f92c3203,data/editorial/long-form-stories/altxyz/8ba5e47a-9f2e-4c14-a2b4-bd5bb65f1e74/summary_en.json
107,one-piece,en,OP07-051,Boa Hancock,2024 500 Years In the Future Manga Art,2787,444,cmc_efdcf43dc1f206f6636fa2d0,d00d2083-0262-4d4f-8550-348e76573afc,1724d2739c4de3fe2362dde66a41fbbe701473a302ddcec0d05c7dc562e54966,data/editorial/long-form-stories/altxyz/d00d2083-0262-4d4f-8550-348e76573afc/summary_en.json
128,one-piece,en,OP11-118,Monkey D. Luffy,2025 A Fist of Divine Speed Manga Alternate Art,2818,442,cmc_a97002894deef0055a443602,d2c7ca43-7bc6-420b-8321-d817970ba02e,00d43494ef368136e414fa228be0999af84e1ce0d1dcb2b0cabc95b1325c2fae,data/editorial/long-form-stories/altxyz/d2c7ca43-7bc6-420b-8321-d817970ba02e/summary_en.json
132,one-piece,en,OP01-078,Boa Hancock,2023 Kingdoms of Intrigue,2865,457,cmc_dacb08e98dd4781013b9b9de,8f872687-5dac-4339-bd85-cc26c7107e9d,b7157609f4d90d84bcd43d5ae0fe23f929a7669331c9301a33b5ede0b2636086,data/editorial/long-form-stories/altxyz/8f872687-5dac-4339-bd85-cc26c7107e9d/summary_en.json
134,one-piece,en,OP13-118,Monkey D. Luffy,2025 Carrying On His Will (Op13) - English Manga Alt. Art Parallel,2861,437,cmc_79579a6d522f2e49f0e54949,f3741d7c-c2f3-4775-a8f2-f08b2f9cab66,f9889270fc4e6a929a93e4ebffa934d97ec9e6c0211f9b8457af9d0ba8adab76,data/editorial/long-form-stories/altxyz/f3741d7c-c2f3-4775-a8f2-f08b2f9cab66/summary_en.json
146,one-piece,en,OP05-119,Monkey D Luffy,2024 Premium Booster: the Best English Manga Alt. Art Parallel,2895,457,cmc_d911b2f32f701c32ada0f8af,7c57a2c7-6647-4603-9651-d522e997db3f,f6f286926776a8c8a3cf1e578a0f011e5945a662d04c5175f940614675da025a,data/editorial/long-form-stories/altxyz/7c57a2c7-6647-4603-9651-d522e997db3f/summary_en.json
163,one-piece,en,ST21-014,Monkey D. Luffy,2025 3rd Anniversary! One Piece Card Treasure Campaign Pack,2874,446,cmc_a0accd63b7240ff7357ec7ba,1bd945cb-dc7c-42be-a90e-a62fb2dbfd5d,b0b235d124ec79e8aaa017e9f89f4b5bb48219d4b63e7ea23e820e6f8d3fc03e,data/editorial/long-form-stories/altxyz/1bd945cb-dc7c-42be-a90e-a62fb2dbfd5d/summary_en.json
171,one-piece,en,OP09-119,Monkey D Luffy,"2024 Emperors In the New World (Op09) - English (Borderless, Manga Art) Alt Art",2933,466,cmc_b9e3dbde32ffa1418c85447c,484c087a-94ae-4e5a-90ac-06f75236c848,0629cea7a9d33bcd22e27ea550902a8cbbf3c887be4ac86d7f2b54d82c88e41b,data/editorial/long-form-stories/altxyz/484c087a-94ae-4e5a-90ac-06f75236c848/summary_en.json
175,one-piece,en,EB01-006,Tony Tony Chopper,2024 Memorial Collection Manga Alternate Art,2743,423,cmc_d28f13261d43426bf2db2076,ea7108b2-3e49-4253-a736-5f6923bd15c1,abb7daaf924a93b0289805955506d0457291c75f74f5a5a7ab26f6b34b217065,data/editorial/long-form-stories/altxyz/ea7108b2-3e49-4253-a736-5f6923bd15c1/summary_en.json
188,one-piece,en,OP02-013,Portgas D. Ace,2023 Japanese Manga Art,2851,446,cmc_0dca1574369a3b550922f228,d2b07a31-e001-4819-a6f8-d405548ac6bf,dd4c0ae52e9e7645164880435d3c6d37f84843ced2c2a8cd75ef8e7a8379b4b5,data/editorial/long-form-stories/altxyz/d2b07a31-e001-4819-a6f8-d405548ac6bf/summary_en.json
192,one-piece,en,OP06-119,Sanji,2025 Premium Booster: the Best Vol.2 (Prb-02) - English Manga Alt. Art Parallel (En Above Japan On Border),2886,453,cmc_48f49134505612b25e5792fa,e10dfc65-66d6-4c21-80e8-355455c075bb,a74e99bf476c772caccdb7dc5af3206a5815a6661a6261cbfb1181ce409a13e1,data/editorial/long-form-stories/altxyz/e10dfc65-66d6-4c21-80e8-355455c075bb/summary_en.json
197,one-piece,en,OP09-050,Nami,2025 Card Game Promo Championship Offline Regionals Top  Prize,2884,447,cmc_6b7c379edd7d4a83728b6fc3,14b5af37-916e-491e-afbe-d3098d745868,eccabe43f6d480977c45f0129d59235ad6ded8974133099206a6689481076441,data/editorial/long-form-stories/altxyz/14b5af37-916e-491e-afbe-d3098d745868/summary_en.json
